movie_title,release_date,genre,mpaa_rating,total_gross,inflation_adjusted_gross
Shoot to Kill,1988-02-12,Action,,29300000,60097074
D.O.A.,1988-03-18,Thriller/Suspense,,12706478,26062188
Return to Snowy River,1988-04-15,Adventure,PG,13687027,28073384
Big Business,1988-06-10,Comedy,PG,40150487,82352451
Who Framed Roger Rabbit?,1988-06-22,Comedy,PG,154112492,316250084
Cocktail,1988-07-29,Drama,R,78222753,160442289
The Rescue,1988-08-05,Action,,5855392,12009960
Heartbreak Hotel,1988-09-30,Comedy,,5509417,11300331
The Good Mother,1988-11-04,Drama,,4764606,9772655
Ernest Saves Christmas,1988-11-11,Comedy,PG,28202109,57845202
Oliver & Company,1988-11-18,Adventure,G,49576671,102254492
Beaches,1988-12-21,Drama,PG-13,57041866,120381757
Three Fugitives,1989-01-27,Comedy,PG-13,40590000,85757817
New York Stories,1989-03-01,Drama,PG,10763469,22740861
Disorganized Crime,1989-04-14,Comedy,,7210149,15233465
Dead Poets Society,1989-06-02,Drama,PG,95860116,202531517
Honey I Shrunk the Kids,1989-06-23,Adventure,PG,130724172,276191669
Turner & Hooch,1989-07-28,Comedy,PG,71079915,150176361
Cheetah,1989-08-18,Adventure,,7882250,16653473
An Innocent Man,1989-10-06,Drama,R,19397847,40983414
Gross Anatomy,1989-10-20,Drama,PG-13,11346186,23972012
The Little Mermaid,1989-11-15,Adventure,G,111543479,223726012
Blaze,1989-12-13,Drama,R,19049727,39884640
Stella,1990-02-02,Drama,PG-13,20062347,40077147
Where the Heart Is,1990-02-23,Comedy,,1106475,2210321
Pretty Woman,1990-03-23,Romantic Comedy,R,178406268,356389765
Ernest Goes to Jail,1990-04-06,Comedy,PG,25029569,49999822
Spaced Invaders,1990-04-27,Comedy,PG,15000000,29964452
Fire Birds,1990-05-24,Action,PG-13,14760451,29485923
Dick Tracy,1990-06-15,Action,PG,103738726,207231621
Betsy's Wedding,1990-06-22,Comedy,R,19740070,39433357
Arachnophobia,1990-07-18,Thriller/Suspense,PG-13,53208180,106290270
DuckTales: The Movie - Treasure of th…,1990-08-03,Adventure,G,18075331,36107823
Taking Care of Business,1990-08-17,Comedy,R,20005435,39963460
Mr. Destiny,1990-10-12,Comedy,PG-13,15379253,30722056
The Rescuers Down Under,1990-11-16,Adventure,G,27931461,55796728
3 Men and a Little Lady,1990-11-21,Comedy,PG,71609321,143108869
Green Card,1990-12-25,Romantic Comedy,PG-13,29804169,59679131
White Fang,1991-01-18,Adventure,PG,34729091,69540672
Scenes from a Mall,1991-02-22,Comedy,,9563393,19149495
Haakon Haakonsen,1991-03-01,Adventure,PG,15024232,30084149
The Marrying Man,1991-04-05,Romantic Comedy,R,12454768,24939118
Oscar,1991-04-26,Comedy,PG,23562716,47181395
One Good Cop,1991-05-03,Action,R,11276846,22580472
What About Bob?,1991-05-17,Comedy,PG,63710000,127571325
Wild Hearts Can't Be Broken,1991-05-24,Drama,,7300000,14617333
The Rocketeer,1991-06-21,Action,PG,46573027,93256673
The Doctor,1991-07-24,Drama,PG-13,37497480,75084021
Paradise,1991-09-18,Drama,PG-13,18634643,37313540
Deceived,1991-09-27,Thriller/Suspense,PG-13,28738096,57544453
Ernest Scared Stupid,1991-10-11,Comedy,PG,14143280,28320147
Billy Bathgate,1991-11-01,Drama,R,15565363,31167691
Beauty and the Beast,1991-11-13,Musical,G,218951625,363017667
Father of the Bride,1991-12-20,Comedy,PG,89325780,179821881
The Hand That Rocks the Cradle,1992-01-10,Thriller/Suspense,R,88036683,178831137
Medicine Man,1992-02-07,Drama,PG-13,44948240,91304495
Blame it on the Bellboy,1992-03-06,Comedy,PG-13,2891055,5872667
Noises Off...,1992-03-20,Comedy,PG-13,2280148,4631720
Straight Talk,1992-04-03,Comedy,PG,21202099,43068356
Newsies,1992-04-08,Drama,PG,2706352,5497481
Passed Away,1992-04-24,Drama,PG-13,4030793,8187848
Encino Man,1992-05-22,Comedy,PG,40057130,81369058
Sister Act,1992-05-29,Comedy,PG,139605150,283583472
Honey I Blew Up the Kid,1992-07-17,Comedy,PG,58662452,119162518
A Stranger Among Us,1992-07-17,Drama,PG-13,12282994,24950752
3 Ninjas,1992-08-07,Action,PG,29028000,58965304
A Gun in Betty Lou's Handbag,1992-08-21,Adventure,PG-13,3591460,7295423
Captain Ron,1992-09-18,Comedy,PG-13,22518097,45741576
Sarafina!,1992-09-18,Drama,PG-13,7306242,14841352
Innocent Blood,1992-09-25,Horror,R,4877567,9907922
The Mighty Ducks,1992-10-02,Comedy,PG,50752337,103120810
1492: Conquest of Paradise,1992-10-09,Adventure,PG-13,7099531,14421454
Consenting Adults,1992-10-16,Drama,R,21591728,43859823
Aladdin,1992-11-11,Comedy,G,217350219,441969178
The Distinguished Gentleman,1992-12-04,Comedy,R,46434570,94349900
The Muppet Christmas Carol,1992-12-11,Comedy,G,27281507,55417615
Alive,1993-01-15,Adventure,R,36299670,73914543
Aspen Extreme,1993-01-22,Romantic Comedy,PG-13,7843388,15970955
Homeward Bound: The Incredible Journey,1993-02-03,Adventure,G,41833324,85182343
The Cemetery Club,1993-02-03,Comedy,PG-13,5583621,11369541
Swing Kids,1993-03-05,Musical,PG-13,5632086,11468231
A Far Off Place,1993-03-12,Adventure,PG,12890752,26248558
Born Yesterday,1993-03-26,Romantic Comedy,PG,17760754,36165012
The Adventures of Huck Finn,1993-04-02,Adventure,PG,24103594,49080505
Bound by Honor,1993-04-16,Drama,R,4496583,9156084
Indian Summer,1993-04-23,Comedy,R,14717851,29968953
Super Mario Bros.,1993-05-28,Action,PG,20844907,42445058
Guilty as Sin,1993-06-04,Thriller/Suspense,R,22622537,46064723
Life With Mikey,1993-06-04,Comedy,PG,12349549,25146538
What's Love Got to Do With It,1993-06-09,Drama,R,39100956,79618610
Son in Law,1993-07-02,Comedy,PG-13,25989889,52921433
Hocus Pocus,1993-07-16,Comedy,PG,39360491,80147079
Another Stakeout,1993-07-23,Comedy,PG-13,20107504,40943541
My Boyfriend's Back,1993-08-06,Comedy,PG-13,3218882,6554384
Father Hood,1993-08-27,Adventure,PG-13,3268203,6654819
The Joy Luck Club,1993-09-08,Drama,R,32790064,66768171
Money for Nothing,1993-09-10,Comedy,R,1044824,2127496
The Program,1993-09-24,Action,R,23042200,46919256
Cool Runnings,1993-10-01,Comedy,PG,68856263,140392731
The Nightmare Before Christmas,1993-10-13,Musical,PG,50408318,100026637
The Three Musketeers,1993-11-12,Adventure,PG,53661805,109310377
Sister Act 2 Back in the Habit,1993-12-10,Comedy,PG,57319029,116965668
Tombstone,1993-12-25,Western,R,56505065,115781734
The Air Up There,1994-01-07,Comedy,PG,20782439,42940186
Cabin Boy,1994-01-07,Comedy,PG-13,3469493,7168577
Iron Will,1994-01-14,Drama,PG,20623071,42610902
Red Rock West,1994-01-28,Western,R,2502551,5170709
Blank Check,1994-02-11,Comedy,PG,30573770,63170804
Angie,1994-03-04,Comedy,R,9252349,19116981
The Ref,1994-03-09,Comedy,R,11325885,23401275
D2: The Mighty Ducks,1994-03-25,Comedy,PG,45604206,94226333
Holy Matrimony,1994-04-08,Comedy,,713234,1473665
White Fang 2: Myth of the White Wolf,1994-04-15,Adventure,PG,8752399,18083994
The Inkwell,1994-04-22,Comedy,R,8864699,18316030
When a Man Loves a Woman,1994-04-29,Drama,R,50021959,103354194
3 Ninjas Kick Back,1994-05-06,Action,PG,11744960,24267154
Renaissance Man,1994-06-03,Comedy,PG-13,24172899,49945474
The Lion King,1994-06-15,Adventure,G,422780140,761640898
I Love Trouble,1994-06-29,Romantic Comedy,PG,30806194,63651027
Angels in the Outfield,1994-07-15,Comedy,PG,50236831,103798152
In the Army Now,1994-08-12,Comedy,PG,28881266,59673787
Color of Night,1994-08-19,Thriller/Suspense,R,19750470,40804816
Camp Nowhere,1994-08-26,Comedy,PG,10442641,21576332
It's Pat,1994-08-26,Comedy,,60822,125666
A Simple Twist of Fate,1994-09-02,Drama,PG-13,3404935,7035189
Quiz Show,1994-09-14,Drama,PG-13,24787282,50840394
Terminal Velocity,1994-09-23,Action,PG-13,16478900,34048315
Ed Wood,1994-09-30,Comedy,R,5828466,12042634
The Puppet Masters,1994-10-21,Horror,R,8579626,17727017
Squanto: A Warrior's Tale,1994-10-28,Drama,PG,3319344,6858345
The Santa Clause,1994-11-11,Comedy,PG,144833357,298369717
A Low Down Dirty Shame,1994-11-23,Action,R,29317886,60321919
The Jungle Book,1994-12-25,Adventure,PG,44342956,88930321
Houseguest,1995-01-06,Comedy,PG,26325256,51016522
Bad Company,1995-01-20,Thriller/Suspense,R,3523909,6829092
Miami Rhapsody,1995-01-27,Romantic Comedy,PG-13,5086578,9857435
The Jerky Boys,1995-02-03,Comedy,R,7555256,14641561
Heavy Weights,1995-02-17,Comedy,PG,17671310,34245779
Man of the House,1995-03-03,Comedy,PG,40029009,77573459
Roommates,1995-03-03,Comedy,PG,12076989,23404369
Tall Tale,1995-03-24,Western,PG,8247627,15983331
A Pyromaniac's Love Story,1995-03-28,Romantic Comedy,PG,468240,907414
Jefferson in Paris,1995-03-31,Drama,PG-13,2461628,4770461
Funny Bones,1995-03-31,Comedy,R,529135,1025425
A Goofy Movie,1995-04-07,Comedy,G,35336439,68479579
While You Were Sleeping,1995-04-21,Romantic Comedy,PG,81057016,157082900
Crimson Tide,1995-05-12,Action,R,91387195,177102077
Mad Love,1995-05-26,Drama,PG-13,15446532,29934306
Pocahontas,1995-06-10,Adventure,G,141579773,274370957
Judge Dredd,1995-06-30,Action,R,34687912,67222776
Operation Dumbo Drop,1995-07-28,Adventure,PG,24670346,47809421
Dangerous Minds,1995-08-11,Drama,R,84919401,164552293
A Kid in King Arthur's Court,1995-08-11,Adventure,PG,13406717,25981285
The Tie That Binds,1995-09-08,Thriller/Suspense,R,5762795,11167895
Unstrung Heroes,1995-09-15,Drama,PG,7929000,15365850
The Big Green,1995-09-29,Comedy,PG,17736619,34372339
Dead Presidents,1995-10-04,Drama,R,24120194,46741467
The Scarlet Letter,1995-10-13,Drama,R,10359006,20075033
Feast of July,1995-10-13,Drama,R,293274,568342
Powder,1995-10-27,Drama,PG-13,30833914,59727216
Toy Story,1995-11-22,Adventure,G,191796233,370409631
Father of the Bride Part II,1995-12-08,Comedy,PG,76578911,147658438
Nixon,1995-12-20,Drama,R,13668249,26302005
Tom and Huck,1995-12-22,Adventure,PG,23837227,45911517
Mr. Holland's Opus,1995-12-29,Drama,PG,82582604,157508868
White Squall,1996-02-02,Adventure,PG-13,10229300,19509726
Muppet Treasure Island,1996-02-16,Adventure,G,34327391,65470567
Mr. Wrong,1996-02-16,Romantic Comedy,PG-13,12805071,24422334
Before and After,1996-02-23,Drama,PG-13,8642118,16482589
Up Close & Personal,1996-03-01,Drama,PG-13,51045801,97356578
Homeward Bound II: Lost in San Franc…,1996-03-08,Adventure,G,32709423,62384706
Two Much,1996-03-15,Romantic Comedy,PG-13,1078555,2057055
Un indien dans la ville,1996-03-22,Comedy,PG,1029731,1963937
James and the Giant Peach,1996-04-12,Adventure,PG,28921264,55159783
Celtic Pride,1996-04-19,Comedy,PG-13,9240378,17623615
Last Dance,1996-05-03,Drama,R,5857534,11171714
Boys,1996-05-10,Drama,PG-13,21930418,41826566
Spy Hard,1996-05-24,Comedy,PG-13,26936265,51373912
Eddie,1996-05-31,Comedy,PG-13,31369401,59828966
The Rock,1996-06-07,Action,R,134069511,255702705
The Hunchback of Notre Dame,1996-06-21,Adventure,G,100138851,190988799
Phenomenon,1996-07-05,Drama,PG,104636382,199559799
Kazaam,1996-07-17,Comedy,PG,18880508,36009655
Jack,1996-08-09,Drama,PG-13,58617334,111792852
First Kid,1996-08-30,Comedy,PG,26465920,50465108
The Rich Man's Wife,1996-09-13,Thriller/Suspense,R,8538318,16284619
D3: The Mighty Ducks,1996-10-04,Comedy,PG,22936273,43713554
The Associate,1996-10-25,Comedy,PG-13,12772657,24333094
Ransom,1996-11-08,Action,R,136492681,259807820
The War at Home,1996-11-20,Drama,R,34368,65543
101 Dalmatians,1996-11-27,Comedy,G,136189294,258728898
The Preacher's Wife,1996-12-13,Drama,PG,48102795,91076877
Evita,1996-12-25,Musical,PG,50047179,92077628
Metro,1997-01-17,Action,R,32017895,58804106
Prefontaine,1997-01-24,Drama,PG-13,590817,1085093
Shadow Conspiracy,1997-01-31,Thriller/Suspense,R,2154540,3957025
That Darn Cat,1997-02-14,Comedy,PG,18301828,33613158
Jungle 2 Jungle,1997-03-07,Comedy,PG,59925026,110058379
The Sixth Man,1997-03-28,Comedy,PG-13,14765099,27117599
Grosse Pointe Blank,1997-04-11,Black Comedy,R,28084357,51579764
Romy and Michele's High School Reunion,1997-04-25,Comedy,R,29235353,53693680
Gone Fishin',1997-05-30,Comedy,PG,19745922,36265379
Con Air,1997-06-06,Action,R,101117573,185712664
Hercules,1997-06-13,Adventure,G,99112101,182029412
George Of The Jungle,1997-07-16,Comedy,PG,105263257,193326632
Nothing To Lose,1997-07-18,Comedy,R,44480039,81692095
Air Bud,1997-08-01,Comedy,PG,24646936,45266588
G.I. Jane,1997-08-22,Drama,R,48169156,88467531
A Thousand Acres,1997-09-19,Drama,R,7928412,14561324
Washington Square,1997-10-05,Drama,PG,1775644,3257546
Rocket Man,1997-10-10,Comedy,PG,15448043,28371890
Playing God,1997-10-17,Thriller/Suspense,R,4166918,7652965
Flubber,1997-11-26,Comedy,PG,92993801,170406423
An American Werewolf in Paris,1997-12-25,Horror,R,26570463,48546161
Mr. Magoo,1997-12-25,Comedy,PG,21437192,39145784
Kundun,1997-12-25,Drama,PG-13,5686694,10236836
Deep Rising,1998-01-30,Action,R,11203026,20136775
Krippendorf's Tribe,1998-02-27,Comedy,PG-13,7571115,13608633
An Alan Smithee Film: Burn Hollywood …,1998-02-27,Comedy,R,45779,82277
Meet the Deedles,1998-03-27,Comedy,PG,4356126,7829877
He Got Game,1998-05-01,Drama,R,21567853,38766948
The Horse Whisperer,1998-05-15,Drama,PG-13,75383563,135497531
Six Days Seven Nights,1998-06-12,Romantic Comedy,PG-13,74339294,133620516
Mulan,1998-06-19,Adventure,G,120620254,216807832
Armageddon,1998-07-01,Adventure,PG-13,201578182,362324957
Jane Austen's Mafia,1998-07-24,Comedy,PG-13,19843795,35668055
